loan_id;date;amount;duration;payments;frequency;account_month;account_day;gender;birth_year;birth_month;birth_day;inhabitants;less499;less1999;more10000;last_balance;balance_m1_min;num_trans_m1;num_trans_m3;balance_m6_min;balance_y1_min;balance_all_min;credit_m1_min;credit_m3_min;withdrawal_m1_min;status
5314.0;930705.0;96396.0;12.0;8033.0;2.0;3.0;22.0;1.0;1947.0;7.0;22.0;85930.6;40.9;16.1;1.3;20100.0;20100.0;1.0;3.0;1100.0;1100.0;1100.0;3300.0;3300.0;0.0;-1
5316.0;930711.0;165960.0;36.0;4610.0;0.0;2.0;13.0;0.0;1968.0;7.0;22.0;112252.81818181818;64.0909090909091;26.454545454545453;1.9090909090909092;52208.9;23795.0;9.0;29.0;700.0;700.0;700.0;127.5;127.5;14.6;1
6863.0;930728.0;127080.0;60.0;2118.0;0.0;2.0;8.0;0.0;1936.0;6.0;2.0;112252.81818181818;64.0909090909091;26.454545454545453;1.9090909090909092;20272.8;20272.8;9.0;17.0;800.0;800.0;800.0;105.6;80.4;66.0;1
5325.0;930803.0;105804.0;36.0;2939.0;0.0;1.0;30.0;1.0;1940.0;4.0;20.0;92102.83333333333;62.666666666666664;26.666666666666668;1.5833333333333333;34307.3;34129.2;6.0;16.0;18632.0;1000.0;1000.0;178.1;155.8;14.6;1
7240.0;930906.0;274740.0;60.0;4579.0;2.0;2.0;14.0;0.0;1978.0;9.0;7.0;1204953.0;0.0;0.0;1.0;41112.9;40960.1;7.0;17.0;35844.0;600.0;600.0;182.8;182.8;30.0;1
6687.0;930913.0;87840.0;24.0;3660.0;0.0;5.0;12.0;1.0;1980.0;2.0;16.0;92102.83333333333;62.666666666666664;26.666666666666668;1.5833333333333333;43847.8;43847.8;4.0;12.0;500.0;500.0;500.0;148.8;127.9;22000.0;1
7284.0;930915.0;52788.0;12.0;4399.0;0.0;1.0;14.0;0.0;1973.0;2.0;16.0;87574.375;69.375;16.625;1.125;21029.0;18324.0;7.0;25.0;14716.8;1000.0;1000.0;81.2;81.2;14.6;1
6111.0;930924.0;174744.0;24.0;7281.0;0.0;4.0;14.0;1.0;1948.0;8.0;12.0;85930.6;40.9;16.1;1.3;58140.9;16865.9;7.0;19.0;1000.0;1000.0;1000.0;86.4;77.8;14.6;-1
7235.0;931013.0;154416.0;48.0;3217.0;2.0;4.0;20.0;1.0;1969.0;5.0;25.0;87574.375;69.375;16.625;1.125;53402.7;20149.5;8.0;17.0;8897.0;8897.0;8897.0;167.2;167.2;30.0;1
5997.0;931104.0;117024.0;24.0;4876.0;0.0;6.0;20.0;0.0;1935.0;10.0;3.0;87574.375;69.375;16.625;1.125;53193.5;52985.2;3.0;9.0;800.0;800.0;800.0;208.3;138.5;24000.0;1
7121.0;931110.0;21924.0;36.0;609.0;0.0;1.0;17.0;0.0;1960.0;8.0;20.0;146784.92857142858;59.785714285714285;35.42857142857143;1.5;49083.3;34450.7;6.0;18.0;24950.4;1100.0;1100.0;154.2;130.5;14.6;1
6077.0;931122.0;79608.0;24.0;3317.0;0.0;1.0;13.0;0.0;1970.0;4.0;28.0;112252.81818181818;64.0909090909091;26.454545454545453;1.9090909090909092;103745.7;62096.7;5.0;16.0;31251.7;800.0;800.0;373.7;278.2;14.6;1
6228.0;931201.0;464520.0;60.0;7742.0;2.0;3.0;19.0;1.0;1940.0;12.0;2.0;92102.83333333333;62.666666666666664;26.666666666666668;1.5833333333333333;121570.3;17585.6;12.0;26.0;12514.7;200.0;200.0;290.7;108.9;30.0;-1
6356.0;931208.0;95400.0;36.0;2650.0;2.0;3.0;15.0;0.0;1971.0;2.0;10.0;112252.81818181818;64.0909090909091;26.454545454545453;1.9090909090909092;27697.0;27562.0;4.0;17.0;4092.6;200.0;200.0;135.0;135.0;30.0;1
5523.0;931208.0;93888.0;36.0;2608.0;1.0;7.0;5.0;1.0;1950.0;10.0;20.0;146784.92857142858;59.785714285714285;35.42857142857143;1.5;34716.3;34716.3;5.0;12.0;600.0;600.0;600.0;189.2;189.2;100.0;1
6456.0;931209.0;47016.0;12.0;3918.0;1.0;4.0;14.0;1.0;1957.0;12.0;31.0;146784.92857142858;59.785714285714285;35.42857142857143;1.5;58773.2;53304.4;5.0;22.0;25441.9;200.0;200.0;282.9;238.0;100.0;1
